Name,Winner,2nd
Ed Pednault,-,FALSE
Neela Khan,+,TRUE
Bir Bhanu,+,TRUE
Arlindo Oliveira,-,FALSE
Irina Tchoumatchenko,-,FALSE
Robert C. Holte,+,TRUE
Michele Sebag,+,TRUE
Jorg-Uwe Kietz,+,TRUE
Yoshifumi Sakai,+,TRUE
Thomas E. Kammeyer,-,FALSE
Yoav Freund,+,TRUE
R. Andrew McCallum,-,FALSE
Jonathan Gratch,+,TRUE
Margo Guertin,+,TRUE
Huw Roberts,+,TRUE
Sally Goldman,+,TRUE
Bhaskar Dasgupta,-,FALSE
Fernando Pereira,+,TRUE
Nina Mishra,+,TRUE
Wray Buntine,-,FALSE
William A. Greene,+,TRUE
Yolanda Gil,+,TRUE
Chris Drummond,-,FALSE
Claude Sammut,-,FALSE
Charles X. Ling,-,FALSE
Sanjay Jain,+,TRUE
Stefan Kramer,-,FALSE
Cristina Baroglio,-,FALSE
Dwight Schrute,+,FALSE
Leslie Pack Kaelbling,+,TRUE
Philip Chan,-,FALSE
Yishay Mansour,+,TRUE
Michael I. Jordan,+,TRUE
Patrick M. Murphy,+,TRUE
Karsten Verbeurgt,+,TRUE
Attilio Giordana,-,FALSE
Gerald F. DeJong,+,TRUE
Thomas Zeugmann,-,FALSE
Mandayam T. Suraj,+,TRUE
Michael Littman,+,TRUE
Shaul Markovitch,-,FALSE
Eric Allender,-,FALSE
Cullen Schaffer,+,TRUE
Roberto Piola,+,TRUE
Nader Bshouty,+,TRUE
Bruce A. MacDonald,-,FALSE
Kamal M. Ali,+,TRUE
Foster J. Provost,+,TRUE
Wolfgang Janko,+,TRUE
Seth Flanders,+,TRUE
Peter Bartlett,+,TRUE
Craig Knoblock,-,FALSE
Earl S. Harris Jr.,+,TRUE
Prasad Tadepalli,-,FALSE
Stan Matwin,-,FALSE
Pascal Koiran,+,TRUE
Sandra Panizza,+,TRUE
George Berg,+,TRUE
Stephen Kwek,-,FALSE
J. R. Quinlan,-,FALSE
Sebastian Seung,+,TRUE
Susan L. Epstein,+,TRUE
Priscilla Rasmussen,-,FALSE
Steven Minton,-,FALSE
Lance Riley,+,TRUE
Jose L. Balcazar,+,TRUE
William Sakas,+,TRUE
Claudio Facchinetti,-,FALSE
Vijay Raghavan,+,TRUE
Bob Evans,+,TRUE
Neil Berkman,+,TRUE
Masayuki Inaba,+,TRUE
Shai Ben-David,-,FALSE
Dan Roth,+,TRUE
Lisa Hellerstein,+,TRUE
Geoffrey Gordon,+,TRUE
Paul Vitanyi,+,TRUE
Anselm Blumer,-,FALSE
